,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,IREFULLY,HE,,TO,,HOLT,UNMARRY,,HIS,CLAWS,,WELCOMES,LETTUCE,FISHES,VIN,TWIT,ENTIA,SPIELED,JAWS
1,HOUR,VIPEROUSLY,PERM ,GEUMS,TO,JARL,ION,MEET,SUDSERS,HIS,CLAWS,PRICE,WELCOMER,LETTUCE,FICUS,LO,NITWIT,ANGERIC,SNIPED,PAWL
2,WOMBS,COEVALLY,HE,STIES,O ,TRAIN ,HOLT,UNBAN,PRESES,CORF,CLAWS,AND,,,,,,,,
3,WOO,IREFULLY,HEMEN,STREELS,TOY,WAIL,COX,SERVES,STAYS,HIS,YAMS,ASEA,WELCOMES,ROTATED,KRISES,VIN,CYAN,SENTENCE,BOWLINGS,HOWS
4,WE,IREFULLY,HEMEN,STEN,GO,COY,PUDIC,NEELD,SAURIANS,HIS,AM,SHEA,NECROSES,PUTTOCK,FISHES,IN,TAINT,UPTIE,KISTING,GOWK
5,WON,IREFULLY,HEBEN,AVENS,TWO,ROIL,ION,REDED,LOUIS,HIS,KAWS,SEAM,NECROSES,PUTTOCK,BISH,TIN,AWN,ENTIA,TYPTOING,DAWK
6,HOB,ARIALLY,HAE,PENDS,TA,BRINY,GOAT,MACRO,LUREXES,OYS,PLOT,SINK,WELCOMES,LETTUCE,FOISTERS,DINGY,TWIT,ENTOIL,CHAPPING,DOORS
8,RE,IREFULLY,REXES,SONES,TO,COY,COINS,NEELD,SAURIANS,HIS,AM,SENA,WELCOMES,SCUTTLE,FUGIES,ION,WAVE,REALLY,EVOKING,JAWS
11,BOMB,COEVALLY,HO,SEEMS,TOO,AIRLIKE,VOLAS,UNMARRY,SCREAMS,LOS,CORNS,FAND,NECROSES,PUTTOCK,PASHMS,IN,TAXING,ENTIA,SLATTING,DAWK
12,TOMBS,COEVALLY,HE,SPED,OBO,ARAMID,COLA,QUANGO,CREAK,LOS,CORNS,FAND,MADRASES,BILE,FISHLESS,VIN,EYE,ENEMY,WIDDLING,JAWS
13,HOC,VIPERIOUSLY,PEEL,GEUMS,TOR,BEAMS,ION,REFT,SOMBERS,NISI,CAWS,RICED,WEFTAGES,BICEP,BILGING,VIN,WYTE,GENTEELLY,WIDDING,JAWS
14,WOE,REFUELS,HEMEN,SEEMS,TO,ROCH,GOT,NAMED,SPALDS,HIS,KOIS,SHEA,ELATES,LETTUCE,WISEST,I,TWIT,DERMAS,SPIELED,JAWS
15,HOB,AERIALLY,HE,TULES,TO,BUROO,ORT,TAITS,SPREADS,LO,CLAWS,STIRK,WELTERS,PATTLES,FISHES,BIN,TIPT,ENTIA,CAPIAS,DOWS
16,HEM,SHEBEENED,PERTS,DENIMS,TO,ORPIN,ION,NEXT ,SPALLERS,DRIFT,BLAWS,OKE,WELCOMES,LISTABLE,MUTES,IN,WAVE,SEALS,HUSKING,DEWS
17,BIBB,ICONICALLY,NE,UPPED,KI,COVIN,PONT,UPMARKET,PRESES,MOMS,CLAWS,GRAND,WELCOMES,LETTUCE,APSES,IF,TWIT,ANTIC,SPIELED,AGAS
18,CAB,FISCALLY,HE,AWES,TO,SHINY,HOLD,RANG,SUPPIAS,LOS,HAWK,LINS,WELCOMES,LITTLE,KRISSES,VIN,WYTE,SENTENCE,NUMBING,HOWS
20,WOO,INFULA,HEMEN,SEEMS,TONY,CULL,COX,TALLY,STAYS,MIDS,YAMS,EASEL,ELUTES,HITHE,FUGIES,EN,WYTE,BUNTS,SUCKLING,JAWS
21,HUI,CEREBRALLY,PURE,DESKILL,TOP,BORN,WON ,RENT,SPEERS,HIS,BLAWS,DOE,NECROSES,PUTTOCK,FISHES,IN,YWIS,UPTIE,SLATTING,DAWK
22,HOB,AIMFULLY,ME,AWES,TO,FRANZY,HOLT,NONGS,PAHS,FLOE,CHAWS,LINS,WELCOMES,VETCH,BASSES,IT,TWIT,ANTIC,SPIELED,JAUKS
23,HOB,DENIAL,HE,PENDS,TO,BRINY,GOAT,MANDIRS,LUREXES,LOS,CLOT,SINK,WELCOMES,WATTLES,FUGIES,IN,WOOER,REALLY,HUTCHING,JAWS
24,HUI,CEREBRALLY,PERM,DECILE ,TOP,GORE,WON ,NEXT ,JAPERS,HIS,BLAWS,COKE,BLUER,NIBBLE,BUSTED,TIN,WYTE,RUST,HUSKING,JAKS
25,HOB,FISCASLLY,HE,AWEE,TOW,THINGS,HOLD,RANG,SUPERHEATS,LOS,LANK,LINER,ALBITES,LITTLE,FUGIES,EN,ANTE,ZESTS,HUSKING,PATS
26,HOLM,VICEROYALTY,PERM ,GEUMS,TOC,SAUL,ION,NET,SISTERS,HIS,CLAWS,PRICE,WELCOMES,LETTUCE,RAZEES,FIN,TWIT,ANTIC,BESMILED,SUNKS
28,DOO,GAINFULLY,ME,AWES,TO,LAIRD,HOLT,KENTS,SPREADS,FLOE,PAWL,LINS,WELCOMES,LITHE,FLUB,ID,LITHITE,ANERGIC,SPIELED,JAWS
29,BIBB,CHILLY,NE,SNEED,MI,RESIN,PONT,UNMARRY,MENSES,KOS,BLAE,GRAND,ELUTES,NIBBLE,FUGIES,TIN,WYTE,RUST,VAILING,JAWS
30,HOC,VIPEROUSLY,PEEL,GEUMS,POT,BRAIN,NOW,REFT,COOERS,OUS,CLAWS,NOWED,WELCOMES,LITTLE,AROUSE,VIN,WYTE,SENTENCE,HUSKING,HOWS
31,BOMB,CAUSALLY,HO,SEEMS,TOO,TREATISE,SOLA,UNMARRY,SCREAMS,LOS,CORNS,FAWNS,ELATES,LETTUCE,FISHES,I,TWIT,DERMIS,SPIELED,BAPS
32,HOB,AERIALLY,HE,TERHS,TO ,BIRO,GET,TANTARA,SPREADS,LO,CENS,STIRK,HEADAGES,VILL,FISHES,VIN,WYCH,ABSENTLY,TIDDLING,JAWS
27,WONS,RUEFULLY,HEMEN,SEEMS,TO,ROIL,ION,LAVE,BEARDS,HIS,KOIS,SHEA,WELCOMES,KITTLE,LUGING,IN,RAVE,AREAS,HUSKING,JAWS
9,POMS ,CREAKILY,HE,SEER,TOO,ORANT,HOLT,QUARRY,CREAK,LOS,CORNS,FAND,WISSES,CATTLE,FISHES,MINO,WOT,ENTIA,CHAPPING,MOWS
10,WOMBS,COEVALLY,HE,STIES,O,TRAIN,HOLT,UNMARRY,VIROSES,LURE,CLAWS,AND,VICOMTES,BITTED,KRISSES,VIN,LYSE,TANGENCE,DILLING,HOHW
7,WON,BROLLY,HEBEN,PREES,TWO,COOL,HOP,REDED,SOULS,HIS,KAWS,BED,WELCOMES,LETTUCE,VISTAS,KING,TWIG,ENTIA,CHAPPING,DOZ
19,HEM,SEWERED,ERF,DENIMS,TO,ORPIN,HOI,WEET,SPEERS,HIS,BLAWS,OKE,WELCOMES,LETTUCE,ASSES,IN,TWIT,OPTICS,SLED,JAUKS
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Python Levenshtein packet at https://pypi.python.org/pypi/python-Levenshtein/0.12.0,,,,,,,,,,,,,,,,,,,
,props to whoever can download this,,,,,,,,,,,,,,,,,,,
